task_id,username,label,precis,recall,f_score,pnl,pnl_average,model_score
202,Mushila,label_5,0.561902,0.0734624,0.241183,16.0374,0.001347,-1.785760477279138e-05
202,Mushila,label_10,0.600081,0.0468605,0.178534,23.6318,0.00238416,0.00019076453308569636
202,Mushila,label_20,0.475515,0.060444,0.20035,32.9369,0.0026099,-0.0001911105041287498
202,Mushila,label_40,0.456232,0.0376341,0.141485,34.924,0.00300009,-0.0022736458808091642
245,Anthony,label_5,0.77547,0.0385321,0.160716,2.86946,0.000634135,-0.0010257878423178188
202,Mushila,label_60,0.477161,0.021209,0.0900363,21.4043,0.00290977,-0.00362789901867359
245,Anthony,label_10,0.751851,0.0400063,0.164927,8.2866,0.00122692,-0.0011371679204973915
245,Anthony,label_20,0.684343,0.0601821,0.222605,27.0825,0.00310188,7.465414152924509e-05
245,Anthony,label_40,0.633572,0.0600969,0.217834,47.3911,0.00354035,-0.0011526148236465537
245,Anthony,label_60,0.586722,0.0479528,0.180691,60.8383,0.00449788,-0.00031755613589204353
278,Daniel,label_5,0.638607,0.149198,0.385618,22.3658,0.00105122,-0.0005622011191032559
278,Daniel,label_10,0.67197,0.103159,0.319561,24.1267,0.00123815,-0.0021441710864092086
278,Daniel,label_20,0.589311,0.0879616,0.275387,29.3092,0.00197781,-0.002438188604383532
278,Daniel,label_40,0.543913,0.0636329,0.216738,39.4436,0.00238908,-0.007649634508026909
278,Daniel,label_60,0.507622,0.0521161,0.18472,42.845,0.00252163,-0.010599744389406477
179,user-2601032,label_5,0.673198,0.0728145,0.254125,15.4128,0.00156475,4.40793751415078e-05
179,user-2601032,label_10,0.705611,0.0422044,0.170281,15.4404,0.00203377,-9.411773134810018e-07
179,user-2601032,label_20,0.546404,0.0753712,0.242856,40.3392,0.00294554,1.7429874690960076e-06
179,user-2601032,label_40,0.578624,0.0227108,0.0981449,29.8395,0.00538716,0.0012298109114656408
179,user-2601032,label_60,0.51297,0.0303512,0.122713,48.1483,0.0049171,0.0
127,user-2601021,label_5,0.0,0.0,0.0,0.0,0.0,
127,user-2601021,label_10,0.0,0.0,0.0,0.0,0.0,
127,user-2601021,label_20,0.508804,0.0593763,0.202401,24.5886,0.00212227,-0.001283992253973504
127,user-2601021,label_40,0.0,0.0,0.0,0.0,0.0,
127,user-2601021,label_60,0.0,0.0,0.0,0.0,0.0,
284,Darius,label_5,0.243671,0.000845531,0.00416971,1.37382,0.00434753,0.00035418385052111637
284,Darius,label_10,0.331095,0.00388403,0.0185495,5.88804,0.00395436,0.0006675802790845678
284,Darius,label_20,0.567485,0.00186338,0.00919605,2.31461,0.00710003,0.0016077548417864837
284,Darius,label_40,0.437109,0.0356075,0.134281,63.6255,0.00553458,0.0021549856830998444
284,Darius,label_60,0.444651,0.0274508,0.110072,49.6891,0.00486338,-3.1765000436480186e-06
72,user-2601042,label_5,0.756354,0.0584954,0.223374,9.86893,0.00140124,-2.2599128572278706e-06
72,user-2601042,label_10,0.752866,0.0475932,0.189937,15.91,0.0019828,-1.0536318979648009e-05
72,user-2601042,label_20,0.637151,0.0666788,0.235014,26.4136,0.00254221,-0.00033320842279202376
72,user-2601042,label_40,0.589388,0.0641502,0.223461,52.0009,0.00338547,-0.0017395000746623008
72,user-2601042,label_60,0.569088,0.0638082,0.220256,61.0458,0.00328981,-0.005832539103244893
162,user-2601043,label_5,0.83235,0.0495569,0.200123,1.64223,0.000302882,-0.0025561191618710902
162,user-2601043,label_10,0.790683,0.0585677,0.225904,6.64961,0.000707255,-0.004117252886611899
162,user-2601043,label_20,0.65958,0.0765597,0.261421,16.0259,0.00139065,-0.0061044146093581
162,user-2601043,label_40,0.623871,0.0464846,0.179056,25.8788,0.00246113,-0.0058442301935468614
162,user-2601043,label_60,0.601077,0.0303451,0.126233,24.6753,0.00295336,-0.004867891352631107
110,user-2601039,label_5,0.39475,0.648314,0.428248,57.6154,0.000385225,-0.0047018717949856865
110,user-2601039,label_10,0.437817,0.597573,0.462548,61.0489,0.000352383,-0.013444761438731315
110,user-2601039,label_20,0.3664,0.516962,0.389062,93.5191,0.000667617,-0.01971610507041609
110,user-2601039,label_40,0.38193,0.450794,0.393966,117.482,0.000705313,-0.049998337843834
110,user-2601039,label_60,0.39363,0.406693,0.396174,203.416,0.00118965,-0.05504395402719434
306,user-2601026,label_5,0.571765,0.189542,0.407438,27.807,0.000921097,-0.0010678677585298096
306,user-2601026,label_10,0.530412,0.252753,0.434868,46.1359,0.000762766,-0.00728737224667762
306,user-2601026,label_20,0.521318,0.13929,0.336651,49.5109,0.00186643,-0.003727997031623422
306,user-2601026,label_40,0.486834,0.153541,0.339459,98.5965,0.00221525,-0.014300719586946457
306,user-2601026,label_60,0.437647,0.115423,0.280841,94.2744,0.00215993,-0.021349494650618844
201,Seow,label_5,0.172348,0.00199853,0.00954948,1.5245,0.00144365,1.0734857549242774e-08
201,Seow,label_10,0.202652,0.00168597,0.00815819,1.24731,0.00118116,-6.262114504783535e-05
201,Seow,label_20,0.216856,0.00230656,0.011062,1.5724,0.00148902,-0.00022612142530019803
201,Seow,label_40,0.195076,0.00145973,0.0070864,1.69877,0.00160868,-0.0005010585416176895
201,Seow,label_60,0.189394,0.00120849,0.00589194,1.1126,0.0010536,-0.0008794682161906499
312,user-2601041,label_5,0.42833,0.069663,0.211028,107.408,0.00725191,0.07145230984016451
312,user-2601041,label_10,0.500499,0.0711731,0.226836,116.175,0.00643631,0.04349785300970792
